user,waktu,barang,review,rating
Gemelino,04/01/2024,Meses Ceres 225gr,bagus,5
Gemelino,04/01/2024,Tulip Chocolate Hagelslag 90gr,pesennya tulip yang dateng safari,4
E***s,04/01/2024,Spix Mie Goreng Pack isi 20 pcs,"Thanks kk, Mantapp 👍",5
E***s,04/01/2024,Terasi Udang Mama Suka pack isi 20 pcs,,5
E***s,04/01/2024,Sun Kara Santan 65 ml,,5
A***f,04/01/2024,Dilan Chocolate Mini Pack isi 25 pcs,nyoba dulu...ini pun buat tukar bingkisan...hehehe,5
A***f,04/01/2024,Sukro Oven Renceng isi 10 pcs,enak...renyah...murah...,5
A***f,04/01/2024,Nissin Biskuit Kering Rasa Kopi 300gr,iseng aja cari cemilan koq ada yg rasa kopi.yg varian lain udah pernah semua.enak koq.mgkn kedepan bisa repeat order nih...hehe,5
L***a,04/01/2024,Mie Sedaap kuah,bungkus mie&#39;nya udh kebuka,3
L***y,04/01/2024,indocafe coffeemix renceng,Okeeeeyyy,5
b***g,04/01/2024,TOP Kopi Cappuccino Renceng isi 15sct,terimakasih,5
b***g,04/01/2024,Ultra Milk Low Fat 250ml,terimakasih,5
Z***a,04/01/2024,Softex Daun Sirih Pembalut 3in1,bagis bener pelayanannya. nama barangnya ditutup biar ga keliatan selama pengiriman pdhal ga ada request. bintang 5 pokoknya sesuai pesanan &amp; aman bgt,5
saroh,04/01/2024,Lifebuoy Shampoo Renceng isi 12 sct,"pesanan sesuai harga terjangkau toko sangat amanah, terima kasih",5
saroh,04/01/2024,Pepsodent 25gr,"pesanan sesuai harga terjangkau toko sangat amanah, terima kasih",5
saroh,04/01/2024,SOS Pembersih Lantai Reffil 750ml,"pesanan sesuai harga terjangkau toko sangat amanah, terima kasih",5
saroh,04/01/2024,Autan Renceng 12 Sachet,"pesanan sesuai harga terjangkau toko sangat amanah, terima kasih",5
sri,04/01/2024,Autan Renceng 12 Sachet,sesuai👍,5
sri,04/01/2024,Mie Sedaap Goreng,mantap,5
sri,04/01/2024,Roma Sandwich Biskuit,terimaksih,5
Firma,04/01/2024,roma biskuit kelapa,mantapp nenek aku suka,5
Noor,04/01/2024,Soklin Liquid Detergent 22ml Renceng ( isi 24 sct + free 2 sct),"bahagia dapat rp 0 gratis bayar, Tokopedia emang baik hati, barang juga lengkap",5
Tri,04/01/2024,Lux Body Wash 5000,kualitas barang memuaskan,5
A***a,04/01/2024,Nabati siip box 20s,"nabatinya datang juga,rasanya enakk gurih...terimakasih tokped dan tokonya amanah selalu🤗",5
Moh,04/01/2024,Teh Poci Celup Box isi 25 kantong,terimakasih sesuai pesanan,5
Febri,04/01/2024,Oishi Sponge Snack Pouch,ntabs ada bonusnya,5
P***a,04/01/2024,TOP Kopi Cappuccino Renceng isi 15sct,"sesuai pesanan, exp lama",5
P***a,04/01/2024,Pop Ice Minuman Serbuk renceng isi 10 sct,minta Choco cream malah dikirim coklat... wes ndakpapa lah...,5
Daniel,04/01/2024,Tango Wafer Box isi 20 pcs,"produk nya bagus, expired nya masih lama, pengiriman cepat, owner nya juga baik dan ramah..",5
Daniel,04/01/2024,Khong Guan Saltcheese Pocket 100gr,"produk nya bagus, expired nya masih lama, pengiriman cepat, owner nya juga baik dan ramah..",5
Daniel,04/01/2024,Khong Guan Superco Cokelat 138gr,"produk nya bagus, expired nya masih lama, pengiriman cepat, owner nya juga baik dan ramah..",5
Daniel,04/01/2024,Better Biskuit Box isi 12 pcs,"produk nya bagus, expired nya masih lama, pengiriman cepat, owner nya juga baik dan ramah..",5
Daniel,04/01/2024,Khong Guan Superco Cokelat 48gr pack isi 10 sct,"produk nya bagus, expired nya masih lama, pengiriman cepat, owner nya juga baik dan ramah..",5
Daniel,04/01/2024,Roma Sari Gandum Original 240gr,"produk nya bagus, expired nya masih lama, pengiriman cepat, owner nya juga baik dan ramah..",5
Daniel,04/01/2024,Nabati Roll's Box isi 20 pcs,"produk nya bagus, expired nya masih lama, pengiriman cepat, owner nya juga baik dan ramah..",5
Daniel,04/01/2024,Slai Olai Biskuit 240gr,"produk nya bagus, expired nya masih lama, pengiriman cepat, owner nya juga baik dan ramah..",5
Daniel,04/01/2024,Selamat Wafer Box isi 20 pcs,"produk nya bagus, expired nya masih lama, pengiriman cepat, owner nya juga baik dan ramah..",5
Daniel,04/01/2024,Nabati Wafer Box isi 20 pcs,"produk nya bagus, expired nya masih lama, pengiriman cepat, owner nya juga baik dan ramah..",5
Daniel,04/01/2024,Wafer Tango 2.000 pack isi 10,"produk nya bagus, expired nya masih lama, pengiriman cepat, owner nya juga baik dan ramah..",5
Daniel,04/01/2024,Biskuat 60gr pack isi 4pcs,"produk nya bagus, expired nya masih lama, pengiriman cepat, owner nya juga baik dan ramah..",5
Daniel,04/01/2024,luwak white coffee renceng 10 sachet,"produk nya bagus, expired nya masih lama, pengiriman cepat, owner nya juga baik dan ramah..",5
Daniel,04/01/2024,Beng beng maxx box,"produk nya bagus, expired nya masih lama, pengiriman cepat, owner nya juga baik dan ramah..",5
Daniel,04/01/2024,biskitop vegetable and cheese stik,"produk nya bagus, expired nya masih lama, pengiriman cepat, owner nya juga baik dan ramah..",5
Daniel,04/01/2024,Khong Guan Cocoa Puff 320gr,"produk nya bagus, expired nya masih lama, pengiriman cepat, owner nya juga baik dan ramah..",5
Daniel,04/01/2024,Nutrisari W'dank Bajigur Renceng isi 10 sct,"produk nya bagus, expired nya masih lama, pengiriman cepat, owner nya juga baik dan ramah..",5
Daniel,04/01/2024,Good Time Cookies Box isi 12 pcs,"produk nya bagus, expired nya masih lama, pengiriman cepat, owner nya juga baik dan ramah..",5
Daniel,04/01/2024,Superstar snaps box,"produk nya bagus, expired nya masih lama, pengiriman cepat",5
Agus,04/01/2024,abc kopi susu renceng,"barang sudah sampai dengan selamat dan aman
terima kasih",5
Maulida,04/01/2024,Gery Saluut Malkist Renceng isi 10,pengemasan aman dan kualitas produk baik. seller amanah,5
Maulida,04/01/2024,Nissin Crispy Crackers 225gr,pengemasan aman dan kualitas produk baik. seller amanah,5
Chandra,04/01/2024,amh jahe merah renceng 12 pcs,"bintang 5 untuk toko, beli ini krn mertua cocok dgn jahe merah amh.. 
bintang 1 untuk kurir jne.. paket dikirim ke rmh org lain, main taruh aja, perumahan rameh kyk t4 sy mw cari bgmn, masak ngecek satu1.. ajukan complain msh ngeyel klo brg sdh dikrm.. untung tuan rumah baik, mau cari nomor sesuai almt yg tertera di paket, katanya bu ini paketnya cm ditaruh diatas motor sy yg diparkir. nilai paket mmg ga sebrp, tapi tanggungjwbnya dimana.sblmnya ada kurir jne jg, bisa bener tuh kermh sy sprti foto ke2.. menjengkelkan",5
Sugiarto,04/01/2024,Roma Better Sandwich Biscuit Renceng isi 10 pcs,siip mantap,5
W***u,04/01/2024,Baygon Refill Botol,,5
A***s,04/01/2024,Wafer Tango 2.000 pack isi 10,"seller fast respon, sesuai pesanan, kalau kosong, pasti konfirmasi dl. thanks ya",5
A***s,04/01/2024,Khong Guan Malkist Renceng isi 10 pcs,"seller fast respon, sesuai pesanan, kalau kosong, pasti konfirmasi dl. thanks ya",5
A***s,04/01/2024,Khong Guan Superco Renceng isi 10 pcs,"seller fast respon, sesuai pesanan, kalau kosong, pasti konfirmasi dl. thanks ya",5
A***s,04/01/2024,Monde egg drops 110g,"seller fast respon, sesuai pesanan, kalau kosong, pasti konfirmasi dl. thanks ya",5
A***s,04/01/2024,Oishi Pillow Snack Renceng isi 20 pcs,"seller fast respon, sesuai pesanan, kalau kosong, pasti konfirmasi dl. thanks ya",5
